id,timestamp,likes,retweets
1437503452427522048,2021-09-13T19:48:25.000Z,1442,355
1437319743703293954,2021-09-13T07:38:25.000Z,1357,339
1437138545584521218,2021-09-12T19:38:24.000Z,1445,346
1436957351584620547,2021-09-12T07:38:24.000Z,1428,339
1436773643724414976,2021-09-11T19:28:25.000Z,1503,384
1436592446826323969,2021-09-11T07:28:24.000Z,2283,508
1436408739121205248,2021-09-10T19:18:25.000Z,1210,272
1436225074739228672,2021-09-10T07:08:36.000Z,2190,514
1436043833070981124,2021-09-09T19:08:24.000Z,1579,402
1435860122740400129,2021-09-09T06:58:24.000Z,2525,614
1435676416344051717,2021-09-08T18:48:25.000Z,2550,548
1435495216811843584,2021-09-08T06:48:24.000Z,1846,502
1435311508649545733,2021-09-07T18:38:25.000Z,2377,604
1435130313479426052,2021-09-07T06:38:24.000Z,1717,451
1434946603530469377,2021-09-06T18:28:24.000Z,2572,594
1434765409258033153,2021-09-06T06:28:24.000Z,2825,714
1434581699053109251,2021-09-05T18:18:24.000Z,2748,641
1434400504885518336,2021-09-05T06:18:24.000Z,3100,744
1434216794840084485,2021-09-04T18:08:25.000Z,3029,703
1434033084018696196,2021-09-04T05:58:24.000Z,3180,705
1433849373943898127,2021-09-03T17:48:25.000Z,2511,570
1433668179574894649,2021-09-03T05:48:24.000Z,2856,702
1433484469609144322,2021-09-02T17:38:25.000Z,2739,673
1433303274799632385,2021-09-02T05:38:24.000Z,3202,790
1433119569175056393,2021-09-01T17:28:26.000Z,2708,652
1432938371484114944,2021-09-01T05:28:25.000Z,3216,815
1432757176494346248,2021-08-31T17:28:24.000Z,2877,702
1432573467442958338,2021-08-31T05:18:25.000Z,3261,817
1432392272688123909,2021-08-30T17:18:25.000Z,3110,738
1432211077274734593,2021-08-30T05:18:24.000Z,3401,839
1432029883023122439,2021-08-29T17:18:24.000Z,3126,752
1431846173657255938,2021-08-29T05:08:24.000Z,3194,787
1431662463112597510,2021-08-28T16:58:24.000Z,3050,730
1431478751683096576,2021-08-28T04:48:24.000Z,3054,772
1431295041318924291,2021-08-27T16:38:24.000Z,2930,703
1431113846903738369,2021-08-27T04:38:24.000Z,2865,713
1430930138414424071,2021-08-26T16:28:25.000Z,2964,728
1430748943374340100,2021-08-26T04:28:24.000Z,3094,743
1430567748921401351,2021-08-25T16:28:24.000Z,2937,729
1430386554749526016,2021-08-25T04:28:24.000Z,3081,742
1430202844632821769,2021-08-24T16:18:24.000Z,2719,616
1430019140681703432,2021-08-24T04:08:26.000Z,3243,828
1429835425074528257,2021-08-23T15:58:25.000Z,2778,652
1429651712634150918,2021-08-23T03:48:24.000Z,3330,794
1429470518483197955,2021-08-22T15:48:24.000Z,2710,620
1429289323942326279,2021-08-22T03:48:24.000Z,3492,851
1429105614333091845,2021-08-21T15:38:24.000Z,3350,825
1428924419406274563,2021-08-21T03:38:24.000Z,3159,736
1428740712254910474,2021-08-20T15:28:25.000Z,2763,646
1428559516489105409,2021-08-20T03:28:24.000Z,2633,638
1428378321981743110,2021-08-19T15:28:24.000Z,3261,848
1428194612372549632,2021-08-19T03:18:24.000Z,3083,787
1428010902498930688,2021-08-18T15:08:24.000Z,1683,396
1427827238398009346,2021-08-18T02:58:36.000Z,2545,643
1427643487642607621,2021-08-17T14:48:26.000Z,3025,756
1427462287632257026,2021-08-17T02:48:24.000Z,2818,713
1427281093284311045,2021-08-16T14:48:24.000Z,2763,670
1427099899271733252,2021-08-16T02:48:24.000Z,2892,738
1426916189041725451,2021-08-15T14:38:24.000Z,3048,738
1426732478576963586,2021-08-15T02:28:24.000Z,3102,759
1426551284098904066,2021-08-14T14:28:24.000Z,2071,547
1426367575462752258,2021-08-14T02:18:25.000Z,2566,644
1426183863764652035,2021-08-13T14:08:24.000Z,2495,583
1426000153840865281,2021-08-13T01:58:25.000Z,2922,718
1425816442503639040,2021-08-12T13:48:24.000Z,2699,679
1425635248516251653,2021-08-12T01:48:24.000Z,2994,745
1425451540978995205,2021-08-11T13:38:25.000Z,2864,685
1425270343019732994,2021-08-11T01:38:24.000Z,2887,664
1425086633783799814,2021-08-10T13:28:24.000Z,2434,585
1424902925999083528,2021-08-10T01:18:25.000Z,2932,726
1424721728396271620,2021-08-09T13:18:24.000Z,3126,721
1424538018774454273,2021-08-09T01:08:24.000Z,3585,873
1424354307369996292,2021-08-08T12:58:24.000Z,3600,813
1424173113072357376,2021-08-08T00:58:24.000Z,3579,838
1423991919013765131,2021-08-07T12:58:24.000Z,3675,815
1423810724338487307,2021-08-07T00:58:24.000Z,3848,886
1423629530346962948,2021-08-06T12:58:24.000Z,3249,741
1423445821891219456,2021-08-06T00:48:24.000Z,3095,679
1423264627526410242,2021-08-05T12:48:24.000Z,2912,722
1423080919251005448,2021-08-05T00:38:25.000Z,1881,398
1422899723963355140,2021-08-04T12:38:25.000Z,3092,718
1422718529967697928,2021-08-04T00:38:25.000Z,3920,1009
1422537335774744580,2021-08-03T12:38:24.000Z,2700,553
1422353624617963525,2021-08-03T00:28:24.000Z,5381,1265
1422169914291499008,2021-08-02T12:18:24.000Z,3219,762
1421988719763013633,2021-08-02T00:18:24.000Z,3802,902
1421805009331757061,2021-08-01T12:08:24.000Z,1830,438
1421623814488793097,2021-08-01T00:08:24.000Z,3003,774
1421440108050493444,2021-07-31T11:58:25.000Z,3274,797
1421258910942613505,2021-07-30T23:58:24.000Z,3447,824
1421077716334530563,2021-07-30T11:58:24.000Z,1771,422
1420894006909841410,2021-07-29T23:48:24.000Z,3567,889
1420712812154867717,2021-07-29T11:48:24.000Z,3060,717
1420531618176016386,2021-07-28T23:48:24.000Z,3489,838
1420347908289871874,2021-07-28T11:38:24.000Z,4322,1070
1420166713778262020,2021-07-27T23:38:24.000Z,3520,853
1419983005398020096,2021-07-27T11:28:25.000Z,3853,927
1419799294245314560,2021-07-26T23:18:25.000Z,3234,832
1419618098810953728,2021-07-26T11:18:24.000Z,3640,886
1419434388488695809,2021-07-25T23:08:24.000Z,3644,894
1419250679026233346,2021-07-25T10:58:24.000Z,3671,845
1419069484095221761,2021-07-24T22:58:24.000Z,4162,1077
1418888289805815813,2021-07-24T10:58:24.000Z,3803,972
1418704580339195905,2021-07-23T22:48:24.000Z,3779,1018
1418520870285455361,2021-07-23T10:38:24.000Z,3487,823
1418337158960582663,2021-07-22T22:28:24.000Z,3507,878
1418153450072911874,2021-07-22T10:18:25.000Z,2329,601
1417972254860787715,2021-07-21T22:18:24.000Z,2867,681
1417788545931042819,2021-07-21T10:08:25.000Z,3967,975
1417607351763341313,2021-07-20T22:08:25.000Z,3988,975
1417423640191291393,2021-07-20T09:58:24.000Z,3122,834
1417239929948680200,2021-07-19T21:48:25.000Z,3459,867
1417056218758197249,2021-07-19T09:38:24.000Z,3524,819
1416875023214710784,2021-07-18T21:38:24.000Z,4191,1067
1416691465649020930,2021-07-18T09:29:00.000Z,6662,1507
1416510120150933505,2021-07-17T21:28:24.000Z,5063,1301
1416326410348777472,2021-07-17T09:18:24.000Z,3844,998
1416145215690350595,2021-07-16T21:18:24.000Z,3110,774
1415961507578486788,2021-07-16T09:08:25.000Z,3070,744
1415777797562408960,2021-07-15T20:58:25.000Z,2958,714
1415596601356259331,2021-07-15T08:58:24.000Z,3134,858
1415412893466742784,2021-07-14T20:48:25.000Z,2586,673
1415231697273171971,2021-07-14T08:48:25.000Z,2465,708
1415048099530264577,2021-07-13T20:38:51.000Z,3118,830
1414866792615399424,2021-07-13T08:38:24.000Z,2064,564
1414685598196146180,2021-07-12T20:38:24.000Z,2510,665
1414504403617337346,2021-07-12T08:38:24.000Z,2413,644
1414320693269905412,2021-07-11T20:28:24.000Z,2499,634
1414136983119613957,2021-07-11T08:18:24.000Z,3781,962
1413955789161648134,2021-07-10T20:18:24.000Z,3919,934
1413774594763280384,2021-07-10T08:18:24.000Z,3308,832
1413590885296656387,2021-07-09T20:08:24.000Z,3642,861
1413407175029018625,2021-07-09T07:58:25.000Z,3717,903
1413225981054119938,2021-07-08T19:58:25.000Z,2879,649
1413042270216105986,2021-07-08T07:48:24.000Z,3314,834
1412858560078303235,2021-07-07T19:38:25.000Z,3035,763
1412677364023279616,2021-07-07T07:38:24.000Z,2299,605
1412493655143768071,2021-07-06T19:28:24.000Z,1822,382
1412309944486055936,2021-07-06T07:18:24.000Z,3699,960
1412128750569930759,2021-07-05T19:18:24.000Z,2280,586
1411945040402857984,2021-07-05T07:08:24.000Z,3297,848
1411763845329211396,2021-07-04T19:08:24.000Z,3141,766
1411580134923063298,2021-07-04T06:58:24.000Z,3305,839
1411396424982568960,2021-07-03T18:48:24.000Z,3226,800
1411212715306242051,2021-07-03T06:38:25.000Z,3074,717
1411031520719126534,2021-07-02T18:38:24.000Z,3046,766
1410850326656262144,2021-07-02T06:38:24.000Z,3171,780
1410666617541906432,2021-07-01T18:28:25.000Z,2770,665
1410482908163420162,2021-07-01T06:18:25.000Z,3554,920
1410301712619999248,2021-06-30T18:18:25.000Z,2345,569
1410120516858417157,2021-06-30T06:18:24.000Z,3609,962
1409939322678153216,2021-06-29T18:18:24.000Z,2576,611
1409755613014417413,2021-06-29T06:08:24.000Z,3642,934
1409571934929629186,2021-06-28T17:58:32.000Z,3547,883
1409390709136842753,2021-06-28T05:58:24.000Z,3721,867
1409209513081724929,2021-06-27T17:58:24.000Z,3829,945
1409025804105830403,2021-06-27T05:48:24.000Z,4059,1009
1408844609598410763,2021-06-26T17:48:24.000Z,5098,1195
1408660901587214340,2021-06-26T05:38:25.000Z,4246,1108
1408477190845616133,2021-06-25T17:28:25.000Z,2971,734
1408293478778511362,2021-06-25T05:18:24.000Z,5070,1282
1408109769257361414,2021-06-24T17:08:25.000Z,2865,712
1407928574368174081,2021-06-24T05:08:24.000Z,2890,720
1407744867397246982,2021-06-23T16:58:25.000Z,2616,641
1407561153925070849,2021-06-23T04:48:24.000Z,2658,648
1407377443720249357,2021-06-22T16:38:25.000Z,2736,702
1407193736094826498,2021-06-22T04:28:25.000Z,3481,898
1407010037604786178,2021-06-21T16:18:28.000Z,3001,747
1406826310635241473,2021-06-21T04:08:24.000Z,3568,886
1406645116308275209,2021-06-20T16:08:24.000Z,3587,852
1406461405595901954,2021-06-20T03:58:24.000Z,3715,873
1406277694850048001,2021-06-19T15:48:24.000Z,3389,759
1406096500657119232,2021-06-19T03:48:24.000Z,3223,751
1405912791983214593,2021-06-18T15:38:24.000Z,3063,771
1405731596989255683,2021-06-18T03:38:24.000Z,3412,862
1405547887170314241,2021-06-17T15:28:24.000Z,3587,891
1405364177473052677,2021-06-17T03:18:24.000Z,3438,861
1405182982663593995,2021-06-16T15:18:24.000Z,3171,724
1405001788454014976,2021-06-16T03:18:24.000Z,4121,1075
1404820593560674304,2021-06-15T15:18:24.000Z,3703,888
1404636883725041668,2021-06-15T03:08:24.000Z,3332,795
1404453175445360647,2021-06-14T14:58:25.000Z,4102,946
1404271979960668160,2021-06-14T02:58:24.000Z,4101,1051
1404088269655117832,2021-06-13T14:48:24.000Z,2924,694
1403904559924273153,2021-06-13T02:38:25.000Z,3634,869
1403723364804530178,2021-06-12T14:38:24.000Z,3508,808
1403539655883202566,2021-06-12T02:28:25.000Z,3761,987
1403355944923303941,2021-06-11T14:18:25.000Z,2193,513
1403174750520856580,2021-06-11T02:18:24.000Z,3691,934
1402991041112801285,2021-06-10T14:08:25.000Z,3241,748
1402807328898945026,2021-06-10T01:58:24.000Z,3294,826
1402623626906587149,2021-06-09T13:48:26.000Z,2838,669
1402442424551673859,2021-06-09T01:48:24.000Z,3383,866
1402258721250680849,2021-06-08T13:38:26.000Z,3106,760
1402077523060703233,2021-06-08T01:38:25.000Z,3768,994
1401896325353029637,2021-06-07T13:38:24.000Z,3369,836
1401712615064285191,2021-06-07T01:28:24.000Z,3994,1012
1401531419495653378,2021-06-06T13:28:24.000Z,3355,768
1401347710775709698,2021-06-06T01:18:24.000Z,3893,959
1401166516343742469,2021-06-05T13:18:24.000Z,3522,804
1400985321706344449,2021-06-05T01:18:24.000Z,3694,926
1400801616823980033,2021-06-04T13:08:25.000Z,3286,793
1400620419598716928,2021-06-04T01:08:24.000Z,3155,790
1400436710807420928,2021-06-03T12:58:25.000Z,2725,638
1400255515213676552,2021-06-03T00:58:24.000Z,3698,917
1400071805914714116,2021-06-02T12:48:25.000Z,3580,853
1399890611516362753,2021-06-02T00:48:25.000Z,3417,807
1399706899898114054,2021-06-01T12:38:24.000Z,3276,757
1399523189248737286,2021-06-01T00:28:24.000Z,3945,1021
1399339478783774721,2021-05-31T12:18:24.000Z,3791,936
1399155768482582531,2021-05-31T00:08:24.000Z,4309,1116
1398972059271716870,2021-05-30T11:58:25.000Z,3766,930
1398788346546212870,2021-05-29T23:48:24.000Z,3841,984
1398607151166365699,2021-05-29T11:48:24.000Z,3799,941
1398423443088027650,2021-05-28T23:38:24.000Z,3619,910
1398242247032909824,2021-05-28T11:38:24.000Z,3690,949
1398058540779151365,2021-05-27T23:28:25.000Z,4064,1031
1397874826770104322,2021-05-27T11:18:24.000Z,3284,855
1397691116376530950,2021-05-26T23:08:24.000Z,4587,1272
1397509921965584384,2021-05-26T11:08:24.000Z,4710,1343
1397326213895663620,2021-05-25T22:58:25.000Z,3823,1061
